date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-05-30,Matt Olson,0.294,275,True,27.5
2026-05-30,Aaron Judge,0.316,220,False,-10.0
2026-05-30,Kyle Schwarber,0.312,250,False,-10.0
2026-05-31,JJ Bleday,0.253,305,False,-10.0
2026-05-31,Colson Montgomery,0.267,295,True,29.5
2026-05-31,Hunter Goodman,0.29,250,False,-10.0
2026-05-31,Aaron Judge,0.345,205,False,-10.0
2026-05-31,Shohei Ohtani,0.31,225,False,-10.0
2026-06-01,Junior Caminero,0.253,350,True,35.0
2026-06-01,JJ Bleday,0.252,310,True,31.0
2026-06-01,Byron Buxton,0.279,275,False,-10.0
2026-06-01,Mike Trout,0.251,350,False,-10.0
2026-06-01,Juan Soto,0.251,340,False,-10.0
2026-06-02,Junior Caminero,0.259,300,False,-10.0
2026-06-02,Kyle Schwarber,0.315,250,False,-10.0
2026-06-02,Aaron Judge,0.286,250,False,-10.0
2026-06-02,Bobby Witt Jr.,0.263,280,False,-10.0
2026-06-02,Byron Buxton,0.255,300,False,-10.0
2026-06-02,Yordan Alvarez,0.289,250,True,25.0
2026-06-02,Mike Trout,0.277,300,False,-10.0
2026-06-02,Shohei Ohtani,0.257,300,False,-10.0
2026-06-02,Juan Soto,0.252,310,False,-10.0
2026-06-03,Junior Caminero,0.252,350,False,-10.0
2026-06-03,Byron Buxton,0.275,300,False,-10.0
2026-06-03,Kyle Schwarber,0.282,275,True,27.5
2026-06-03,Yordan Alvarez,0.269,280,False,-10.0
2026-06-03,Mike Trout,0.254,310,False,-10.0
2026-06-04,Kyle Schwarber,0.336,225,False,-10.0
2026-06-04,Ben Rice,0.304,240,False,-10.0
2026-06-04,Byron Buxton,0.277,285,True,28.5
2026-06-04,Shea Langeliers,0.321,225,True,22.5
2026-06-04,Yordan Alvarez,0.27,300,False,-10.0
2026-06-05,Seiya Suzuki,0.302,245,True,24.5
2026-06-05,Kyle Schwarber,0.32,225,False,-10.0
2026-06-05,Ben Rice,0.26,300,True,30.0
2026-06-05,Shea Langeliers,0.272,275,False,-10.0
2026-06-05,Byron Buxton,0.292,250,False,-10.0
2026-06-05,Hunter Goodman,0.292,250,True,25.0
2026-06-05,Shohei Ohtani,0.277,300,False,-10.0
2026-06-06,Kyle Schwarber,0.303,250,False,-10.0
2026-06-06,Ketel Marte,0.252,305,False,-10.0
2026-06-06,Yordan Alvarez,0.303,250,True,25.0
2026-06-06,Jackson Chourio,0.262,305,False,-10.0
